Season,Name,Age,Inf,RF Matches,Position,Club,Ability,Potential,Transfer Value (Low),Transfer Value (High),Hdrs A,Tck/90,Tck C,Tck A,Tck R,Shot/90,Shot %,ShT/90,ShT,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Shots,Svt,Svp,Svh,Sv %,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,Ps C/90,Ps C,Ps A/90,Pas A,Pas %,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Off,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Int/90,Itc,Sprints/90,Hdr %,Hdrs W/90,Hdrs,Hdrs L/90,Goals Outside Box,FK Shots,xSv %,xGP/90,xGP,xG/shot,Drb/90,Drb,Dist/90,Distance,Cr C/90,Cr C,Crs A/90,Cr A,Cr C/A,Conv %,Clr/90,Clear,CCC,Ch C/90,Blk/90,Blk,Asts/90,Aer A/90,Apps (Total),Apps (Sub Apps),Yel,xG,Saves/90,Tgls/90,Tcon/90,Tall,Tgls,Starts,Shutouts,Red,Pts/Gm,PoM,Pen/R,Pens S,Pens Saved Ratio,Pens Saved,Pens Faced,Pens,NP-xG/90,NP-xG,Last Gl,Last C,Mins/Gm,Mins,Last 5 Games,Last 5 FT Games,Int Conc,Int Av Rat,Int Ast,Int Apps (Total),Int Apps (Sub Apps),Gls/90,All/90,Conc,Gls,Won,G. Mis,Lost,D,Gwin,Fls,FA,xG/90,xG-OP,xA/90,xA,Cln/90,Av Rat,Mins/Gl,Ast,Rec,Acc
2024-25,James Garner - English,24,,,"DM, M (C)",Everton - English Premier Division,,,62000000.0,75000000.0,104,2.13,56,71,79.0,0.3,25.0,0.08,2,0.15,0.19,5,8,,,,,5.03,132,2.59,68,10.17,267,12.95,6.47,49.97,1312,54.92,1442,91.0,1.26,33,0.04,1,0.5,13,13.0,1,0,0.0,0,1.9,50,0.42,1.64,43,12.57,49.0,1.94,51,2.02,0,1,,,,0.09,0.3,8,8.4,219.5,0.5,13,3.81,100,7.0,13.0,0.8,21,8,0.3,0.3,8,0.04,3.96,41.0,18.0,1,0.71,,1.18,1.41,,31,23,,0,1.29,0,,0,,,,0,0.03,0.71,147.0,,57.63,2363,,,,,,,,0.04,,,1,15,,18,8,37.0,20,18,0.03,0.29,0.13,3.33,,6.79,2363.0,1,- - -,13
2024-25,Brenden Aaronson - American,24,,,"M (C), AM (RLC)",Leeds - English Premier Division,,,49000000.0,60000000.0,154,2.05,77,92,84.0,1.36,45.0,0.61,23,0.43,0.0,0,51,,,,,2.19,82,2.91,109,11.84,444,9.6,17.17,30.79,1155,36.74,1378,84.0,1.15,43,0.19,7,1.33,50,14.0,8,0,0.0,0,1.17,44,0.08,1.49,56,13.78,18.0,0.72,27,3.39,2,4,,,,0.13,1.97,74,8.1,302.2,0.21,8,1.49,56,14.0,16.0,0.69,26,7,0.19,0.24,9,0.05,4.11,40.0,0.0,3,6.68,,1.04,1.44,,39,40,,0,1.12,0,,0,,,,0,0.18,6.68,656.0,,84.4,3376,,,,7.05,0.0,6.0,5.0,0.21,,,8,11,,17,12,28.0,25,38,0.18,1.32,0.1,3.74,,6.83,422.0,2,- - -,15
2024-25,Hicham Boudaoui - Algerian,25,Int,,"DM, M (RC)",OGC Nice - Ligue 1 Uber Eats,,,44000000.0,63000000.0,59,1.65,49,67,73.0,1.01,47.0,0.47,14,0.44,0.03,1,30,,,,,2.69,80,2.22,66,8.68,258,8.72,8.99,39.85,1184,45.0,1337,89.0,0.77,23,0.03,1,0.34,10,17.0,0,0,0.03,1,0.77,23,0.1,1.41,42,11.34,46.0,0.91,27,1.08,1,0,,,,0.1,1.01,30,6.4,190.8,0.1,3,0.61,18,10.0,13.0,0.67,20,7,0.24,0.27,8,0.17,1.99,32.0,0.0,3,3.06,,1.14,0.94,,34,32,,0,1.34,1,,0,,,,0,0.1,3.06,0.0,,83.56,2674,,,,7.23,0.0,6.0,1.0,0.13,,,4,9,,7,16,28.0,23,18,0.1,0.94,0.1,2.95,,7.1,668.5,5,- - -,13
2024-25,Merlin Röhl - German,22,,,"DM, M/AM (C), ST (C)",SC Freiburg - Bundesliga,,,7800000.0,12000000.0,47,2.28,30,43,70.0,1.44,63.0,0.91,12,0.61,0.0,0,19,,,,,3.11,41,3.87,51,10.47,138,9.94,14.19,40.07,528,43.56,574,92.0,1.21,16,0.08,1,0.83,11,9.0,2,0,0.08,1,1.21,16,0.46,1.9,25,11.91,57.0,2.05,27,1.52,0,0,,,,0.09,1.75,23,7.9,104.8,0.08,1,0.83,11,9.0,16.0,0.53,7,0,,0.23,3,0.15,3.57,17.0,4.0,0,1.63,,1.37,1.06,,18,13,,0,1.59,2,,0,,,,0,0.12,1.63,55.0,,69.76,1186,,,,,,,,0.23,,,3,7,,4,6,41.0,7,10,0.12,1.37,0.1,1.34,,7.09,395.33,2,- - -,12
2024-25,Aster Vranckx - Belgian,22,,,"DM, M/AM (C)",VfL Wolfsburg - Bundesliga,,,27000000.0,41000000.0,14,2.88,20,22,91.0,1.58,18.0,0.29,2,0.72,0.0,0,11,,,,,2.59,18,3.31,23,10.64,74,10.93,8.19,44.71,311,51.61,359,87.0,0.72,5,0.14,1,0.58,4,25.0,1,0,0.14,1,0.72,5,0.0,1.58,11,12.36,50.0,1.01,7,1.01,1,1,,,,0.11,0.29,2,7.7,53.7,0.14,1,0.58,4,25.0,9.0,0.43,3,1,0.14,0.14,1,,2.01,26.0,24.0,1,1.19,,1.29,1.01,,9,2,,0,1.58,0,,0,,,,0,0.17,1.19,14.0,,24.08,626,,,,,,,,0.14,,,1,11,,7,8,42.0,8,2,0.17,-0.19,0.28,1.98,,6.62,626.0,0,- - -,12
2024-25,Taylor Gardner-Hickman - English,23,Wnt,,"D/WB (R), DM, M (RC)",Bristol City - Sky Bet Championship,,,11000000.0,17000000.0,203,2.55,93,114,82.0,0.3,18.0,0.05,2,0.08,0.25,9,11,,,,,4.94,180,2.33,85,8.54,311,12.74,12.08,40.9,1490,47.04,1714,87.0,0.63,23,0.27,10,1.84,67,15.0,1,0,0.16,6,0.96,35,0.49,2.06,75,16.69,65.0,3.62,132,1.95,0,0,,,,0.1,1.13,41,8.0,292.0,0.8,29,5.46,199,14.0,,0.99,36,13,0.36,0.63,23,0.08,5.57,37.0,0.0,5,1.1,,1.29,1.1,,47,37,,0,1.43,0,,0,,,,0,0.03,1.1,,,88.62,3279,,,,,,,,,,,0,13,,10,14,35.0,38,43,0.03,-1.1,0.09,3.34,,6.75,,3,- - -,13
2024-25,Lennon Miller - Scottish,18,Wnt,,"DM, M/AM (C)",Motherwell - cinch Premiership,,,9200000.0,9200000.0,115,1.68,47,62,76.0,1.43,30.0,0.43,12,0.43,0.0,0,40,,,,,3.47,97,2.5,70,11.45,320,13.63,12.13,36.06,1008,42.28,1182,85.0,1.22,34,0.07,2,0.86,24,10.0,1,0,0.04,1,1.25,35,0.18,1.47,41,12.02,48.0,1.97,55,2.15,2,2,,,,0.14,0.89,25,7.8,217.6,0.11,3,1.11,31,8.0,8.0,0.86,24,10,0.36,0.47,13,0.11,4.11,30.0,0.0,2,5.65,,0.75,1.29,,21,30,,1,0.97,3,,0,,,,0,0.2,5.65,0.0,,83.87,2516,,,,,,,,0.11,,,3,7,,15,8,23.0,13,26,0.2,-2.65,0.25,7.11,,7.07,838.67,3,- - -,11
